Article Name,Article URL extension,Author,Article Description,upvotes
Demystifying Mathematical Concepts for Deep Learning,/community/tutorials/demystifying-mathematics-concepts-deep-learning,Avinash Navlani,"Explore basic math concepts for data science and deep learning such as scalar and vector, determinant, singular value decomposition, and more.",5
Histograms in Matplotlib,/community/tutorials/histograms-matplotlib,Aditya Sharma,Learn about histograms and how you can use them to gain insights from data with the help of matplotlib.,7
Inner Classes in Python,/community/tutorials/inner-classes-python,Hafeezul Kareem Shaik,"In this basic Python tutorial, you'll learn about why and when you should use inner classes.",4
Data Wrangling with INDEX-MATCH in Spreadsheets,/community/tutorials/data-wrangling-index-match-spreadsheets,Francisco Javier Carrera Arias,"In this tutorial, you will get an overview of how to use the INDEX-MATCH function in spreadsheets.",13
Usage of Asterisks in Python,/community/tutorials/usage-asterisks-python,Hafeezul Kareem Shaik,"Many Python users are familiar with using asterisks for multiplication and power operators, but in this tutorial, you'll find out additional ways on how to apply the asterisk.",12
Principal Component Analysis (PCA) in Python,/community/tutorials/principal-component-analysis-in-python,Aditya Sharma,Learn about PCA and how it can be leveraged to extract information from the data without any supervision using two popular datasets: Breast Cancer and CIFAR-10.,9
Importing Data into Pandas,/community/tutorials/importing-data-into-pandas,Aditya Sharma,"To be an adept data scientist, one must know how to deal with many different kinds of data. Learn to read various formats of data like JSON and HTML using pandas.",13
Ten Important Updates from TensorFlow 2.0,/community/tutorials/ten-important-updates-tensorflow,Sayak Paul,"Go through the ten most important updates introduced in the newly released TensorFlow 2.0, and learn how to implement some of them.",9
Inventory Model Simulation with Spreadsheets,/community/tutorials/inventory-model-simulation-with-spreadsheets,Avinash Navlani,Learn how to use spreadsheets to calculate an inventory demand model that helps determine how much inventory a business should hold moving forward.,9
Data Preparation with pandas,/community/tutorials/data-preparation-with-pandas,Sejal Jaiswal,"In this tutorial, you will learn why it is important to pre-process data and how to do it in pandas.",20
Argument Parsing in Python,/community/tutorials/argument-parsing-in-python,Sayak Paul,"In this tutorial, learn how to parse one or more arguments from the command-line or terminal using the getopt, sys, and argparse modules.",13
"How to Add, Subtract, Divide and Multiply in Spreadsheets",/community/tutorials/add-subtract-divide-multiply-in-spreadsheets,Aditya Sharma,"Learn how to apply operations like add, subtract, divide, multiply, and a lot more in Google Spreadsheets with the help of an actual dataset.",8
Conditional Formatting in Spreadsheets,/community/tutorials/conditional-formatting-in-spreadsheets,Aditya Sharma,Learn how to utilize conditional formatting with one or multiple conditions and how to color cells by custom criteria with the help of a dataset.,7
Materialized Views in PostgreSQL,/community/tutorials/materialized-views-postgresql,Sayak Paul,Learn how to store the results of a query with the help of materialized views in PostgreSQL.,11
Leveraging the best of both Python and R,/community/tutorials/using-both-python-r,Parul Pandey,Learn how to use Python and R in conjunction with each other to utilize the best of both in a single data science project.,25
Graphs in Spreadsheets,/community/tutorials/graphs-in-spreadsheets,Aditya Sharma,"In this tutorial, you'll learn how to create visualizations to display data and gain more meaningful insights with spreadsheets.",19
Cleaning Data in SQL,/community/tutorials/cleaning-data-sql,Sayak Paul,"In this tutorial, you'll learn techniques on how to clean messy data in SQL, a must-have skill for any data scientist.",16
SQLite in R,/community/tutorials/sqlite-in-r,Francisco Javier Carrera Arias,"In this tutorial, you will learn about using SQLite, an extremely light-weight relational database management system (RDBMS) in R.",8
Data Visualization with Power BI,/community/tutorials/data-visualisation-powerbi,Parul Pandey,"Learn how to analyze and display data using Power BI and make better, more data-driven decisions.",36
Aggregate Functions in SQL,/community/tutorials/aggregate-functions-sql,Sayak Paul,"Learn how to use aggregate functions for summarizing results and gaining useful insights about data in SQL. ",7
Introduction to Factor Analysis in Python,/community/tutorials/introduction-factor-analysis,Avinash Navlani,"In this tutorial, you'll learn the basics of factor analysis and how to implement it in python.",16
Pivot Tables in Spreadsheets,/community/tutorials/pivot-tables-spreadsheets,Aditya Sharma,"Learn how to organize rows and columns, add values, find the sum of revenue, and finally apply filtering to select a subset of data from a given dataset.",15
Video: Answering Real-World Questions with SQL Queries,/community/tutorials/sql-queries,Ryan Sheehy,"In this video tutorial, you'll break down real-world questions to construct complex queries using CASE statements, subqueries, and common table expressions.",9
CASE Statements in PostgreSQL,/community/tutorials/case-statements-in-postgresql,Sayak Paul,"In this tutorial, you'll learn how to write conditional queries in PostgreSQL using the PostgreSQL CASE conditional expression.",8
10 Command-line Utilities in PostgreSQL,/community/tutorials/10-command-line-utilities-postgresql,Sayak Paul,"In this tutorial, learn about 10 handy command-line utilities in PostgreSQL which can enable you to interact with databases efficiently.",9
SQL with PowerBI,/community/tutorials/sql-with-powerbi,Parul Pandey,"In this tutorial, you'll learn how to connect PowerBI to a Microsoft SQL Server database and then analyze the data to get insights.",25
How to Make a Histogram with ggvis in R,/community/tutorials/make-histogram-ggvis-r,Karlijn Willems,Learn how to make a histogram with ggvis. Go from the very basics to creating interactive graphs with shiny to display distributions.,34
Python Data Type Conversion Tutorial,/community/tutorials/python-data-type-conversion,Sejal Jaiswal,"In this Python tutorial, you'll tackle implicit and explicit data type conversion of primitive and non-primitive data structures with the help of code examples!",45
R Packages: A Beginner's Guide,/community/tutorials/r-packages-guide,Adolfo Álvarez,An introduction to R packages based on 11 of the most frequently asked user questions.,44
Beginners Guide to SQLite,/community/tutorials/beginners-guide-to-sqlite,Francisco Javier Carrera Arias,Learn the basics of SQLite databases from SQLite dot commands to an example of their practical applications using the command line interface.,14
18 Most Common Python List Questions,/community/tutorials/18-most-common-python-list-questions-learn-python,Karlijn Willems,"Discover how to create a list in Python, select list elements, the difference between append() and extend(), why to use NumPy and much more.",66
Introduction to SQL Joins,/community/tutorials/introduction-to-sql-joins,Sayak Paul,"In this tutorial, you'll learn about the mechanics of joins in SQL and its different types.",17
Python Numpy Array Tutorial,/community/tutorials/python-numpy-tutorial,Karlijn Willems,"A NumPy tutorial for beginners in which you'll learn how to create a NumPy array, use broadcasting, access values, manipulate arrays, and much more.",92
Importing Data Into R - Part Two,/community/tutorials/importing-data-r-part-two,Karlijn Willems,"A tutorial on importing data into R. The focus is on reading data from sources like statistical software, databases, webscraping, and more.",17
Introduction to the Where Clause in SQL,/community/tutorials/intro-to-where-clause-sql,Sayak Paul,"In this tutorial, you will be introduced to filtering rows in SQL using the where clause.",8
Data Wrangling with VLOOKUP in Spreadsheets,/community/tutorials/data-wrangling-with-vlookup,Francisco Javier Carrera Arias,"In this tutorial, you will get an overview of how to use the VLOOKUP function and also a basic explanation of INDEX-MATCH.",13
SQLite in Python,/community/tutorials/sqlite-in-python,Sayak Paul,"In this tutorial, you will learn about using SQLite, an extremely light-weight Relational database management system (RDBMS) in Python.",24
How to Make a Histogram with ggplot2,/community/tutorials/make-histogram-ggplot2,Karlijn Willems,Learn how to make a histogram with ggplot2 in R. Make histograms in R based on the grammar of graphics.,15
How to Make a Histogram with Basic R,/community/tutorials/make-histogram-basic-r,Karlijn Willems,Tutorial for new R users whom need an accessible and easy-to-understand resource on how to create their own histogram with basic R.,16
Video: Intro to Python for Spreadsheet Users,/community/tutorials/python-for-spreadsheet-users,Ryan Sheehy,"In this video tutorial, you'll watch the end-to-end automation of a routine spreadsheet task being completed using Python.",36
Video: Tidyverse Exploratory Analysis,/community/tutorials/tidyverse-exploratory-analysis,Ryan Sheehy,"In this video tutorial, you'll be given a brief introduction to the concept of the tidyverse and then walk through an exploratory analysis.",12
SQL with Tableau,/community/tutorials/sql-tableau,Parul Pandey,"In this tutorial, you will learn how to connect Tableau to a Microsoft SQL Server database and then analyze the data to get insights.",17
Introduction to the ALTER TABLE Statement in SQL,/community/tutorials/sql-alter-table-statement,Sayak Paul,"In this tutorial, you will learn how to use and apply the ALTER TABLE statement in SQL.",13
Views (Virtual Tables) in SQL,/community/tutorials/views-in-sql,Avinash Navlani,"In this tutorial, you will learn what views are, the different types available, and the pros and cons of using them.",16
Intro to Multiple Inheritance & super(),/community/tutorials/super-multiple-inheritance-diamond-problem,Adam Spannbauer,"A Pythonista's introductory guide to multiple inheritance, the super() function, & how to navigate the diamond problem.",9
Using ORDER BY Keyword in SQL,/community/tutorials/order-by-sql,Sayak Paul,"In this tutorial, you will learn how to use and apply the ORDER BY keyword in SQL.",10
Python Machine Learning: Scikit-Learn Tutorial,/community/tutorials/machine-learning-python,Karlijn Willems,An easy-to-follow scikit-learn tutorial that will help you get started with Python machine learning.,147
Installing PostgreSQL on Windows and Mac OS X,/community/tutorials/installing-postgresql-windows-macosx,Sayak Paul,"In this tutorial, you will learn how to install PostgreSQL on two different operating systems - Windows and Mac.",10
Spreadsheets with Tableau,/community/tutorials/spreadsheets-tableau,Parul Pandey,"In this tutorial, you will learn how to analyze and display spreadsheet data using Tableau and make more data-driven decisions.",26
Working with Spreadsheets in SQL,/community/tutorials/working-spreadsheets-sql,Sayak Paul,"In this tutorial, learn how to import a spreadsheet into PostgreSQL and perform analysis on it. ",12
